,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Arraial do Cabo,8,BR,01-11-2019,86,-22.97,-42.02,77.42,16.46
1,Kapaa,40,US,01-11-2019,64,22.08,-159.32,78.08,9.17
2,Tasiilaq,80,GL,01-11-2019,73,65.61,-37.64,19.4,10.29
3,Jinchang,0,CN,01-11-2019,50,38.52,102.19,9.56,2.82
4,Bluff,0,AU,01-11-2019,53,-23.58,149.07,87.77,8.63
5,Avezzano,8,IT,01-11-2019,37,42.03,13.43,19.4,12.75
6,Hilo,90,US,01-11-2019,81,19.71,-155.08,73.04,8.05
7,Souillac,90,FR,01-11-2019,100,45.6,-0.6,41.0,1.81
8,Port Elizabeth,1,US,01-11-2019,80,39.31,-74.98,30.92,3.36
9,Tuktoyaktuk,90,CA,01-11-2019,75,69.44,-133.03,-14.81,11.41
10,Hasaki,75,JP,01-11-2019,100,35.73,140.83,44.6,9.17
11,Hobart,8,AU,01-11-2019,44,-42.88,147.33,73.4,17.22
12,Fairbanks,20,US,01-11-2019,67,64.84,-147.72,-38.93,2.71
13,Coahuayana,0,MX,01-11-2019,83,18.62,-100.35,59.69,2.04
14,Halifax,90,CA,01-11-2019,85,44.65,-63.58,15.8,16.11
15,Mataura,0,NZ,01-11-2019,53,-46.19,168.86,69.91,4.05
16,Butaritari,76,KI,01-11-2019,100,3.07,172.79,83.63,12.77
17,Rovaniemi,75,FI,01-11-2019,73,66.5,25.72,26.6,20.8
18,Port Alfred,0,ZA,01-11-2019,83,-33.59,26.89,66.89,22.5
19,Haines Junction,0,CA,01-11-2019,65,60.75,-137.51,-37.47,2.04
20,Havre-Saint-Pierre,90,CA,01-11-2019,92,50.23,-63.6,24.8,25.28
21,Solnechnyy,8,RU,01-11-2019,78,50.72,136.64,-3.99,1.7
22,Punta Arenas,75,CL,01-11-2019,100,-53.16,-70.91,44.6,27.51
23,Rikitea,80,PF,01-11-2019,100,-23.12,-134.97,79.36,17.25
24,Ushuaia,75,AR,01-11-2019,70,-54.81,-68.31,46.4,11.41
25,New Norfolk,0,AU,01-11-2019,49,-42.78,147.06,73.4,19.46
26,Palu,8,ID,01-11-2019,67,-0.9,119.87,78.91,1.7
27,Ligayan,76,PH,01-11-2019,100,4.65,119.47,82.19,7.74
28,Labytnangi,80,RU,01-11-2019,73,66.66,66.39,-16.81,9.64
29,Jacksonville,20,US,01-11-2019,77,30.33,-81.66,59.0,11.41
30,Havelock,1,US,01-11-2019,81,34.88,-76.9,37.04,4.7
31,Ajdabiya,0,LY,01-11-2019,44,30.75,20.22,45.47,10.42
32,Hermanus,12,ZA,01-11-2019,100,-34.42,19.24,48.49,3.15
33,Bambous Virieux,40,MU,01-11-2019,88,-20.34,57.76,80.6,6.93
34,Castro,90,CL,01-11-2019,100,-42.48,-73.76,53.6,5.82
35,Priego de Cordoba,0,ES,01-11-2019,92,37.44,-4.2,24.8,2.71
36,Kudahuvadhoo,20,MV,01-11-2019,100,2.67,72.89,79.99,9.42
37,Booue,88,GA,01-11-2019,100,-0.09,11.94,71.26,2.15
38,Atambua,8,ID,01-11-2019,91,-9.11,124.89,84.71,6.73
39,Albany,20,US,01-11-2019,61,42.65,-73.75,12.2,14.99
40,Chuy,92,UY,01-11-2019,90,-33.69,-53.46,65.18,7.18
41,Ponta do Sol,64,BR,01-11-2019,78,-20.63,-46.0,69.01,3.38
42,Iqaluit,20,CA,01-11-2019,68,63.75,-68.52,-20.21,20.8
43,Ancud,90,CL,01-11-2019,100,-41.87,-73.83,53.6,5.82
44,Lorut,20,AM,01-11-2019,62,40.94,44.77,0.02,2.04
45,Sarangani,92,PH,01-11-2019,98,5.4,125.46,81.29,9.19
46,Pevek,0,RU,01-11-2019,86,69.7,170.27,-13.89,4.38
47,Port Hardy,90,CA,01-11-2019,81,50.7,-127.42,48.2,10.29
