,Name,Energy,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Better When You're Gone,0.795,0.647,0.0372,0.0635,0.0,0.188,0.409,127.992
1,Ring The Alarm,0.968,0.568,0.109,0.0004,0.397,0.0954,0.313,125.998
2,Sell Out,0.963,0.605,0.0681,0.0125,0.788,0.434,0.42,145.013
3,Fire In My Soul,0.977,0.592,0.312,0.206,0.000103,0.0703,0.496,126.178
4,Take Everything,0.823,0.506,0.0424,0.0234,0.000916,0.303,0.405,133.954
5,Losing It,0.964,0.76,0.0576,0.00182,0.7,0.0974,0.641,125.0
6,High On Life (feat. Bonn),0.486,0.414,0.0311,0.0129,0.0,0.111,0.368,128.038
7,Giving Up (feat. Jaden Michaels),0.806,0.484,0.127,0.0447,4.48e-05,0.333,0.417,145.127
8,Never Let You Go (feat. Sofia Reyes) - MOTi & Terry McLove Remix,0.853,0.595,0.264,0.00896,3.52e-05,0.159,0.511,124.985
9,Electricity (feat. Dua Lipa) - MK Remix,0.894,0.675,0.0821,0.000156,0.00856,0.112,0.844,123.995
10,Feel Love,0.701,0.64,0.0367,0.00382,0.00014,0.0959,0.125,127.005
11,Grenade,0.805,0.699,0.0771,0.0145,0.234,0.0425,0.322,124.011
12,Giant (with Rag'n'Bone Man),0.887,0.807,0.0361,0.016,0.000503,0.0811,0.606,122.015
13,Loyal,0.925,0.497,0.0745,0.00523,0.781,0.222,0.262,139.961
14,Drive (feat. Delilah Montagu),0.829,0.711,0.037,0.00163,0.0125,0.0809,0.435,118.021
15,Face My Fears - English Version,0.751,0.628,0.0991,0.0105,0.0,0.119,0.44,159.965
16,Speechless (feat. Erika Sirola),0.728,0.574,0.062,0.0161,1.42e-06,0.0851,0.266,125.047
17,Back & Forth,0.816,0.684,0.0322,0.0181,0.0,0.0222,0.702,121.993
18,Wild Wild Son - Club Mix,0.867,0.526,0.0659,0.00138,0.00064,0.0975,0.12,132.106
19,Scrub The Ground (feat. DJ Funk),0.887,0.786,0.0518,0.0263,0.812,0.338,0.682,126.982
20,Save Me Tonight,0.899,0.55,0.0458,0.0113,9.65e-05,0.137,0.408,125.85
21,Up All Night,0.916,0.678,0.12,0.017,0.000876,0.277,0.412,125.944
22,Happier - Matt Medved Remix,0.833,0.816,0.0511,0.126,9.09e-06,0.0625,0.793,122.032
23,Grapevine,0.828,0.714,0.0598,0.00514,0.154,0.32,0.208,124.034
24,Body,0.764,0.752,0.038,0.0476,9.44e-05,0.0543,0.582,121.958
25,Take Her Place (feat. A R I Z O N A),0.744,0.603,0.0458,0.279,4.87e-06,0.106,0.605,101.991
26,Nobody Else,0.8,0.664,0.0448,0.000861,0.163,0.0832,0.318,123.994
27,KNOCK,0.942,0.756,0.15,0.0114,0.000123,0.283,0.211,128.092
28,Old Friend (MK Remix) [Edit],0.738,0.736,0.0405,0.051,0.0648,0.227,0.428,123.992
29,Don’t Tell Me,0.785,0.597,0.04,0.113,0.0,0.336,0.575,126.002
30,Let's Get Ill,0.989,0.704,0.073,0.009,0.0443,0.0814,0.123,127.992
31,I Found You (with Calvin Harris),0.872,0.775,0.0469,0.033,0.0579,0.298,0.379,122.994
32,Chase The Sun,0.919,0.496,0.0497,0.0184,4.03e-05,0.338,0.177,127.962
33,WOW,0.99,0.601,0.337,0.00116,0.52,0.124,0.192,127.958
34,Want Your Body,0.663,0.712,0.0557,0.00807,3.36e-05,0.218,0.632,123.023
35,Tight,0.857,0.877,0.126,0.0146,0.015,0.0569,0.822,124.015
36,Breathe (feat. Jem Cooke),0.877,0.595,0.0442,0.00646,0.0879,0.398,0.081,125.015
37,Play,0.768,0.771,0.0451,0.0266,1.26e-05,0.426,0.607,125.023
38,Ching Ching,0.75,0.727,0.0392,0.00255,1.23e-06,0.116,0.354,124.98
39,Pulverturm - Tiësto's Big Room Remix,0.945,0.682,0.0587,0.00918,0.712,0.138,0.621,127.989
40,So Real (Warriors),0.875,0.723,0.0748,0.00193,3.7e-05,0.126,0.435,122.979
41,One Kiss - Oliver Heldens Remix,0.752,0.717,0.065,0.251,0.000468,0.0802,0.14,123.97
42,Bvulgari,0.944,0.733,0.11,0.0187,0.751,0.173,0.385,122.989
43,Hooked,0.778,0.645,0.275,0.0744,1.54e-06,0.147,0.405,126.041
44,Neon Sky,0.871,0.562,0.0646,0.341,1.47e-06,0.351,0.351,130.043
45,Heaven (feat. Veronica),0.882,0.657,0.0456,0.247,0.00202,0.112,0.179,127.994
46,One Reason (feat. Imad Royal & Kiah Victoria) [SNBRN Remix],0.763,0.761,0.0476,0.000179,0.258,0.0395,0.827,122.985
47,Apple Juice (feat. Carla Monroe) - MOTi Remix,0.91,0.671,0.1,0.00196,0.0316,0.171,0.413,128.036
48,Jackie Chan - Sebastian Perez Remix,0.913,0.606,0.0745,0.00159,0.0,0.0814,0.75,125.065
49,BAD,0.679,0.928,0.0461,0.00688,0.332,0.318,0.967,124.006
