,Name,Energy,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Red Room,0.559,0.936,0.158,0.479,0.0,0.129,0.517,112.339
1,MIDDLE CHILD,0.364,0.837,0.276,0.149,0.0,0.271,0.463,123.984
2,Going Bad (feat. Drake),0.496,0.889,0.0905,0.259,0.0,0.252,0.544,86.003
3,Pure Water (with Migos),0.559,0.68,0.129,0.172,0.0,0.318,0.137,202.006
4,Wow.,0.539,0.833,0.178,0.163,2.1e-06,0.101,0.385,99.947
5,a lot,0.636,0.837,0.086,0.0395,0.00125,0.342,0.274,145.972
6,Speed It Up,0.587,0.912,0.0582,0.0394,0.01,0.111,0.435,143.027
7,Look Back At It,0.587,0.791,0.0413,0.407,0.0,0.148,0.536,96.057
8,Thotiana,0.382,0.906,0.269,0.18,0.0,0.113,0.391,104.025
9,First Off (feat. Travis Scott),0.683,0.734,0.0776,0.013,0.0,0.28,0.445,162.038
10,Splashin,0.383,0.942,0.565,0.00195,0.0,0.0922,0.38,100.021
11,Swervin (feat. 6ix9ine),0.662,0.581,0.303,0.0153,0.0,0.111,0.434,93.023
12,Space Cadet (feat. Gunna),0.464,0.901,0.0645,0.368,1.71e-05,0.238,0.638,109.004
13,Pure Cocaine,0.487,0.964,0.421,0.00127,6.57e-06,0.115,0.107,127.05
14,Robbery,0.691,0.708,0.0442,0.342,0.0,0.222,0.535,79.99
15,Calling My Spirit,0.365,0.908,0.0942,0.0927,0.0,0.261,0.742,119.977
16,Keanu Reeves,0.888,0.71,0.235,0.0591,0.0,0.134,0.816,170.193
17,BLACKJACK,0.563,0.962,0.246,0.184,0.0,0.059,0.899,131.023
18,Startender (feat. Offset and Tyga),0.622,0.736,0.133,0.0235,0.0,0.151,0.506,191.971
19,Twerk (feat. Cardi B),0.841,0.788,0.143,0.122,0.0011,0.166,0.493,190.089
20,Nuketown (feat. Juice WRLD),0.617,0.808,0.442,0.113,0.0,0.734,0.632,149.962
21,One Call,0.481,0.861,0.343,0.125,1.38e-05,0.0903,0.188,146.992
22,Armed And Dangerous,0.67,0.736,0.311,0.186,0.0,0.114,0.845,130.032
23,Project Dreams,0.831,0.777,0.177,0.42,0.0,0.105,0.791,160.153
24,Drip Too Hard,0.653,0.9,0.289,0.0945,0.0,0.528,0.399,112.503
25,YOSEMITE,0.554,0.785,0.0409,0.283,3.4e-06,0.116,0.144,128.047
26,ZEZE (feat. Travis Scott & Offset),0.637,0.861,0.24,0.0515,3.35e-06,0.0967,0.474,98.044
27,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,0.66,0.698,0.052,0.0226,0.0,0.0622,0.451,159.949
28,10 Freaky Girls (with 21 Savage),0.353,0.81,0.31,0.588,0.0,0.102,0.0727,88.031
29,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),0.833,0.671,0.395,0.0825,0.0,0.0726,0.702,79.351
30,Close Friends (Lil Baby & Gunna),0.585,0.665,0.366,0.044,0.0,0.0789,0.658,158.953
31,monster,0.607,0.89,0.124,0.158,0.000228,0.118,0.224,134.022
32,whoa (mind in awe),0.525,0.735,0.0441,0.653,0.918,0.101,0.369,160.147
33,KIKA (feat. Tory Lanez),0.715,0.745,0.245,0.128,0.0,0.182,0.342,94.513
34,Crushed Up,0.599,0.782,0.209,0.0372,0.0,0.175,0.586,157.999
35,Put a Date On It (feat. Lil Baby),0.659,0.835,0.31,0.0123,0.0,0.372,0.579,129.93
36,SICKO MODE,0.73,0.834,0.222,0.00513,0.0,0.124,0.446,155.008
37,Leave Me Alone,0.743,0.792,0.0851,0.107,0.0,0.183,0.742,150.024
38,Money,0.59,0.95,0.29,0.00534,0.0,0.11,0.219,130.003
39,Girls Have Fun (feat. G-Eazy & Rich The Kid),0.74,0.888,0.238,0.00586,0.0,0.218,0.664,100.003
40,Butterfly Doors,0.397,0.925,0.169,0.0889,5.12e-05,0.144,0.429,130.008
41,Sauce!,0.313,0.68,0.0347,0.582,0.0,0.19,0.405,135.034
42,BiPolar (feat. Quavo),0.569,0.747,0.146,0.144,0.0,0.18,0.167,157.056
43,1400 / 999 Freestyle,0.572,0.825,0.0864,0.0079,0.0,0.113,0.568,141.991
44,Noticed,0.558,0.699,0.0603,0.462,0.0,0.116,0.493,79.992
45,No Stylist,0.704,0.765,0.127,0.0215,0.0,0.227,0.498,147.055
46,Don't Come Out The House (with 21 Savage),0.35,0.87,0.277,0.00661,0.000483,0.108,0.175,74.963
47,Casper,0.607,0.921,0.209,0.525,1.12e-06,0.123,0.753,140.071
48,Envy Me,0.481,0.556,0.313,0.282,0.0,0.216,0.581,149.025
49,Jumpin on a Jet,0.595,0.824,0.091,0.0571,3.7e-06,0.0876,0.157,140.039
