,Name,Energy,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Fluctuate,0.886,0.413,0.09,0.00086,0.000216,0.274,0.319,160.177
1,medicine,0.858,0.615,0.0396,0.00393,0.0,0.0789,0.323,97.038
2,S.O.S. (Sawed Off Shotgun),0.961,0.568,0.065,0.00428,0.0,0.138,0.924,148.126
3,Apologize,0.836,0.535,0.0746,0.00121,0.0,0.102,0.443,85.005
4,Hurt,0.782,0.561,0.04,0.0209,0.0,0.315,0.486,94.004
5,By Myself,0.902,0.63,0.103,0.00427,0.0,0.328,0.759,120.964
6,Heroin,0.709,0.503,0.0431,0.204,0.00438,0.0675,0.12,143.113
7,Dance Macabre,0.696,0.619,0.0315,1.89e-05,0.00555,0.38,0.727,125.986
8,Ways To Disappear,0.792,0.423,0.0396,1.49e-05,0.0,0.429,0.195,119.974
9,Chlorine,0.674,0.609,0.0548,0.0735,0.06,0.345,0.315,90.009
10,"""99""",0.804,0.552,0.0303,0.00598,0.0,0.111,0.714,95.98
11,Ready To Let Go,0.893,0.72,0.0376,0.0109,2.52e-05,0.0729,0.795,100.96
12,Ornament,0.842,0.535,0.154,0.00151,0.0,0.0807,0.287,126.215
13,Loner,0.948,0.27,0.136,0.0285,0.0,0.152,0.475,98.765
14,Black X White,0.599,0.658,0.0367,0.124,0.0,0.124,0.485,75.01
15,Dying In A Hot Tub,0.786,0.468,0.0448,0.074,0.0,0.0828,0.4,112.288
16,Longshot,0.765,0.481,0.0388,0.00381,0.000737,0.119,0.465,102.829
17,Be My Fire,0.886,0.539,0.0459,0.000436,0.000122,0.168,0.5,95.995
18,In Love With A Camera,0.886,0.557,0.0378,0.000125,0.000199,0.355,0.638,127.982
19,Hear Me Now (feat. DIAMANTE),0.806,0.338,0.0767,0.00343,0.0,0.144,0.278,160.821
20,Elevate,0.775,0.666,0.0979,0.0226,0.0,0.254,0.59,144.998
21,Modern Love (Recorded for The Howard Stern Tribute to David Bowie),0.92,0.371,0.0947,0.00207,3.93e-06,0.361,0.196,180.026
22,ONE OF US,0.85,0.645,0.193,0.00119,0.0,0.241,0.45,90.999
23,mother tongue,0.872,0.598,0.0328,0.0196,0.0,0.326,0.609,107.009
24,Outta My Mind,0.841,0.586,0.0735,0.0148,0.0,0.522,0.55,102.115
25,Lose Lose Lose,0.952,0.633,0.0532,0.0251,0.0,0.404,0.9,131.981
26,This Land - Single Version,0.911,0.505,0.0624,0.0315,1.83e-05,0.0745,0.281,81.978
27,Love It If We Made It,0.727,0.479,0.0357,0.000718,1.97e-05,0.0644,0.0577,180.09
28,Bad Company,0.856,0.521,0.0511,0.011,0.0,0.31,0.454,136.985
29,Stronger,0.677,0.571,0.0373,0.0231,0.0,0.352,0.134,128.008
30,You're The One,0.807,0.553,0.0431,0.0123,0.00242,0.297,0.575,152.101
31,Lavender Bones,0.936,0.55,0.078,0.000207,2.67e-06,0.302,0.767,158.02
32,The Time Is Now,0.944,0.481,0.231,0.00926,0.000328,0.278,0.396,165.02
33,Crowbar,0.639,0.572,0.0506,0.0922,1.64e-05,0.563,0.804,179.857
34,Sunday Driver,0.675,0.5,0.043,0.0185,0.0152,0.201,0.614,122.813
35,GET UP,0.935,0.552,0.0623,0.0174,1.98e-06,0.116,0.38,74.954
36,Let Me Down Easy,0.899,0.672,0.0323,0.22,0.302,0.142,0.927,139.01
37,Every Step That I Take (feat. Portugal The Man & Whethan),0.765,0.525,0.259,0.0115,0.0,0.46,0.53,140.233
38,All Washed Out,0.7,0.626,0.0305,0.00149,0.00108,0.17,0.362,101.016
39,Drug,0.726,0.466,0.0866,0.0052,0.0,0.0975,0.633,169.976
40,Be Legendary,0.944,0.547,0.0507,4.81e-05,0.0451,0.195,0.364,93.966
41,Take This Lonely Heart,0.758,0.526,0.0337,0.00146,0.0158,0.121,0.528,127.72
42,Kids,0.964,0.492,0.0729,0.00046,0.00582,0.434,0.703,157.036
43,Toro,0.879,0.43,0.132,0.00295,0.0373,0.102,0.561,177.934
44,Monster (Under My Bed),0.62,0.66,0.0455,0.219,0.0,0.242,0.261,144.945
45,bernard trigger,0.792,0.4,0.0368,0.000449,0.0848,0.185,0.338,117.819
46,Pressure,0.834,0.618,0.0566,0.00364,0.000181,0.0593,0.755,136.033
47,White Flag,0.91,0.343,0.0648,0.00136,5.67e-05,0.0717,0.15,163.975
48,K A R M A,0.874,0.647,0.0762,0.0622,0.0,0.0636,0.632,126.986
49,Do Your Worst,0.8,0.391,0.0523,0.00977,3.08e-06,0.329,0.398,83.81
