,Name,Energy,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Con Calma,0.86,0.737,0.0593,0.11,1.94e-06,0.0574,0.656,93.989
1,Baila Baila Baila,0.754,0.816,0.111,0.0361,0.0,0.217,0.533,99.966
2,Calma - Remix,0.773,0.826,0.0524,0.323,0.0,0.143,0.761,126.899
3,Secreto,0.803,0.807,0.126,0.602,0.00853,0.136,0.706,91.987
4,Desconocidos,0.771,0.709,0.166,0.146,3.29e-06,0.249,0.709,174.006
5,Adan y Eva,0.709,0.767,0.336,0.323,0.0,0.0676,0.72,171.993
6,Solo de Mi,0.73,0.743,0.125,0.287,8.1e-05,0.0778,0.15,179.972
7,Ella Quiere Beber - Remix,0.665,0.751,0.124,0.265,0.0,0.0515,0.698,95.239
8,MIA (feat. Drake),0.539,0.817,0.0621,0.0141,0.000496,0.099,0.158,97.062
9,Pa Olvidarte (feat. Manuel Turizo) - Remix,0.791,0.724,0.169,0.0441,6.55e-06,0.239,0.856,176.011
10,Baby,0.71,0.7,0.0532,0.327,0.0,0.129,0.582,167.971
11,Reggaeton,0.74,0.747,0.191,0.0165,9.94e-05,0.101,0.552,176.059
12,Me Gusta,0.699,0.853,0.0473,0.0719,0.0184,0.0684,0.68,96.013
13,Bubalu,0.355,0.8,0.0895,0.616,0.0,0.118,0.253,145.929
14,Adictiva,0.771,0.788,0.0563,0.291,5.62e-05,0.172,0.701,99.038
15,Ya No Tiene Novio,0.832,0.632,0.154,0.048,0.0,0.0705,0.784,182.184
16,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.798,0.841,0.229,0.153,3.33e-06,0.0618,0.591,95.948
17,Créeme,0.872,0.715,0.0547,0.154,0.000146,0.11,0.682,96.939
18,Un Año,0.382,0.771,0.0514,0.148,0.0,0.104,0.535,94.931
19,Te Vi,0.777,0.877,0.117,0.0446,3.46e-05,0.0863,0.706,102.02
20,Sola,0.706,0.704,0.111,0.483,0.0,0.0965,0.856,92.965
21,Asesina - Remix,0.69,0.825,0.226,0.589,0.0,0.413,0.516,94.194
22,Amanece,0.631,0.79,0.0425,0.437,0.0,0.158,0.889,94.039
23,Llegaste Tú,0.914,0.702,0.0376,0.153,0.0,0.0625,0.563,96.991
24,Puntos Suspensivos,0.731,0.823,0.103,0.175,0.0,0.131,0.952,152.024
25,Adicto,0.762,0.735,0.04,0.318,0.0,0.371,0.7,116.027
26,Sola,0.526,0.569,0.359,0.506,0.0,0.0708,0.474,124.969
27,Ibiza,0.71,0.691,0.334,0.254,0.0,0.108,0.726,192.046
28,MALA (feat. Anuel Aa),0.825,0.719,0.0424,0.689,0.0,0.103,0.789,100.006
29,Mala Mía,0.752,0.749,0.345,0.31,0.0,0.232,0.901,180.049
30,NI BIEN NI MAL,0.449,0.826,0.0674,0.556,1.85e-05,0.273,0.337,128.028
31,Imposible,0.764,0.786,0.0798,0.122,0.0,0.102,0.913,90.979
32,Callao,0.836,0.73,0.0409,0.0073,0.0,0.0371,0.879,92.043
33,Dile la Verdad,0.701,0.886,0.141,0.292,1.16e-05,0.0574,0.823,103.002
34,Que Le De,0.75,0.77,0.0785,0.19,0.0,0.0618,0.609,99.997
35,Ráptame,0.743,0.662,0.159,0.0138,4.65e-06,0.0613,0.388,183.965
36,Replay,0.8,0.726,0.0588,0.203,0.000175,0.107,0.765,109.984
37,Luz Apaga,0.791,0.611,0.173,0.19,3.02e-06,0.12,0.658,192.07
38,Mocca - Remix,0.758,0.732,0.189,0.213,0.0,0.388,0.78,98.007
39,Ta To Gucci (Remix),0.648,0.73,0.378,0.383,0.000112,0.103,0.675,187.991
40,Booty,0.771,0.825,0.0804,0.0167,2.04e-06,0.0901,0.718,102.927
41,Me Voy,0.752,0.531,0.2,0.214,0.0,0.145,0.884,192.443
42,No Te Enamores,0.735,0.806,0.0425,0.587,0.00889,0.0812,0.353,100.101
43,PPP,0.65,0.786,0.109,0.363,8.17e-05,0.122,0.712,92.975
44,Déjalo,0.795,0.743,0.0732,0.199,0.0,0.0577,0.682,95.003
45,Baby Girl (feat. Lalo Ebratt),0.705,0.804,0.199,0.0275,0.000138,0.202,0.45,103.009
46,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",0.881,0.766,0.137,0.0166,2.3e-06,0.347,0.674,112.027
47,Vas A Quedarte,0.508,0.395,0.0326,0.795,3.63e-06,0.0627,0.168,89.859
48,Domingo (feat. Cosculluela),0.733,0.816,0.0448,0.124,0.0,0.0812,0.571,93.022
49,Veneno,0.768,0.792,0.107,0.046,3.39e-06,0.067,0.295,89.917
